title,description,length,song,viewCount,publishedAt,url
Talkloids be like: The broken toaster (Meloloid) #vocaloid #talkloid #mmd,"Chis-A not looking good today, sorry.

Credits:
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA
Toaster: https://www.turbosquid.com/3d-models/toaster-3d-model-1860192

Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.45 minutes,Unknown,9651109,2024-08-28T10:56:25Z,https://www.youtube.com/watch?v=cuYRPt85vpY
MELOLOID: No Vitamins! #talkloid  #vocaloid  #meloloid #mmd  #blender  #miku,"Sorry for what looks like lower quality than the recent episodes, I'm still trying new things. oh but everyone's textures are fixed yay!!

Credits:
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA
Pipeb0mb: https://shorturl.at/R5x8Q (i know the link seems sus, but it's real lol)
Store: https://www.deviantart.com/steeldolls/art/Interactive-Hee-Ho-Mart-Stage-Edit-3-4-MMD-DL-833127037

Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.33 minutes,Unknown,7315548,2024-09-06T20:38:24Z,https://www.youtube.com/watch?v=gzandMquvNU
MELOLOID: Teto Is Hungry #talkloid  #vocaloid  #meloloid #mmd  #blender  #miku,"legends say teto is still hungry

Credits:
------------------------------
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA

stage: https://www.deviantart.com/mmd3dcgparts/art/MMD-Stage-38-485901077

burger: https://www.cgtrader.com/free-3d-models/food/vegetable/stylized-burger-45d51d8c-5836-4252-8b16-8a2d446cb7a9
------------------------------

Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.37 minutes,Unknown,6723857,2024-09-17T17:35:02Z,https://www.youtube.com/watch?v=PhF31we32E0
MELOLOID: 10 minutes #talkloid  #vocaloid  #meloloid #mmd  #blender  #miku,"I thought i fixed Chis-a's face damnit. The compositing doesn't work when i render in blender DAMNIIIII-

Credits:
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA

train station: https://sketchfab.com/3d-models/train-station-f85779e5ced14db892c2c4a1d01eefc7

soda can: https://sketchfab.com/3d-models/simple-cola-can-aaa11e57064848268d701a3586792d0d

train: https://sketchfab.com/3d-models/train-low-poly-6a923ccf018b4f529732a0690664977e

Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.37 minutes,Unknown,5758496,2024-09-10T20:51:48Z,https://www.youtube.com/watch?v=AG5_eLjxyxo
【Genshin Impact MMD／4K／60FPS】Hu Tao，Furina,#genshinimpact #MMD #HuTao #原神MMD #胡桃 #원신 #原神#원신MMD ##Furina #Focalors #푸리나 #포칼로스 #フリーナ #フォカロルス,0.18 minutes,Unknown,5582631,2024-04-07T13:35:03Z,https://www.youtube.com/watch?v=kNCV8Y3sUb4
【MMD】メズマライザー #vocaloid #mmd #animation #miku #teto #mesmerizer #channel #初音ミク #重音テト #メズマライザー #shorts,"🦊---------------------------------🦊
【MOTION】
AntoneEw
【CAMERA】
AntoneEw
【MODEL】
HatsuneDkaname
【PV KIT】
Mea
【MUSIC】
メズマライザー feat. 初音ミク & 重音テト",0.35 minutes,Unknown,4803782,2024-05-25T10:01:59Z,https://www.youtube.com/watch?v=lVfCjaSAvK0
MELOLOID: The Delayed Bus #talkloid #vocaloid #meloloid #mmd #blender #miku,"Fixed the textures! ...kinda. im still having problems lol.

Credits:
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA
bus: https://www.turbosquid.com/3d-models/bus-station-3d-model-1563079

Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.35 minutes,Unknown,3996127,2024-09-01T22:39:36Z,https://www.youtube.com/watch?v=-GNo9TVw7dk
MELOLOID: Electron's Project #talkloid  #vocaloid  #meloloid #mmd  #blender  #miku,"It's gonna take some time.
https://youtu.be/Jz1_3Fm5yvo

Credits:
------------------------------
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA

road: https://www.cgtrader.com/3d-model/road-types
car: ripped from the game ""Distance""
------------------------------
Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.37 minutes,Unknown,3194580,2024-09-13T19:39:18Z,https://www.youtube.com/watch?v=dwwMFcX3O9c
channel style miku#vocaloid #RabbitHole #mmd #miku #deco27 #anime #animation #初音ミク #ラビットホール,"🦊---------------------------------🦊
【MOTION】
DIBU_BUUU
【CAMERA】
DIBU_BUUU
【MODEL】
Dani-Periapsis
改造/绑骨：树哥BigTree
刚体/蒙皮：树哥BigTree
【MUSIC】
DECO*27 - ラビットホール feat. 初音ミク",0.23 minutes,Unknown,2452437,2024-04-13T17:30:37Z,https://www.youtube.com/watch?v=8XlojmRPwdo
MELOLOID: The Ice Cream Machine #talkloid  #vocaloid  #meloloid #mmd  #blender  #miku,"omg imagine continuity?

Credits:
Kasane Teto SV: https://mikumikudance.fandom.com/wiki/Teto_Kasane_SynthV_(Jomomonogm)
Chis-a: https://www.deviantart.com/pikadude31451/art/MMD-Chis-a-Model-download-963279292
Miku: TDA
Pipeb0mb: https://shorturl.at/R5x8Q (i know the link seems sus, but it's real lol)
Stage: https://www.deviantart.com/steeldolls/art/Interactive-McDonalds-Stage-1-01-MMD-DL-861014005
Robot: https://www.deviantart.com/chestnutscoop/art/MMD-Eared-Robot-v1-3-Download-857587638
Neru: mmd default model
Neru phone: https://www.deviantart.com/den2neruakita/art/MMD-Neru-Akita-s-Phone-244814483



Made with Blender.

Any donation (https://ko-fi.com/electronmiku) would be highly appreciated. My dream is to make a living off of creativity.
u can also get 5% off of Voicemod through this link https://link.xsolla.com/p2cK5Uja 
or use the promocode: ELECTRONMIKU
i will earn 15% of the revenue share!

DISCORD 
https://discord.gg/TTD6R468hJ",0.33 minutes,Unknown,1554439,2024-09-29T15:48:24Z,https://www.youtube.com/watch?v=aa1AXFocqX0
